Species	Tissue	do	replicate	fq1	fq2
Dog	Brain	do26735	BR1	do26735_PCHIC_Dog_Brain_BR1_r_1.fq.gz	do26735_PCHIC_Dog_Brain_BR1_r_2.fq.gz
Dog	Brain	do26772	BR2	do26772_PCHIC_Dog_Brain_BR2_r_1.fq.gz	do26772_PCHIC_Dog_Brain_BR2_r_2.fq.gz
Dog	Liver	do26741	BR1	do26741_PCHIC_Dog_Liver_BR1_r_1.fq.gz	do26741_PCHIC_Dog_Liver_BR1_r_2.fq.gz
Dog	Liver	do26773	BR2	do26773_PCHIC_Dog_Liver_BR2_r_1.fq.gz	do26773_PCHIC_Dog_Liver_BR2_r_2.fq.gz
Dog	Testis	do26736	BR1	do26736_PCHIC_Dog_Testis_BR1_r_1.fq.gz	do26736_PCHIC_Dog_Testis_BR1_r_2.fq.gz
Dog	Testis	do26774	BR2	do26774_PCHIC_Dog_Testis_BR2_r_1.fq.gz	do26774_PCHIC_Dog_Testis_BR2_r_2.fq.gz
Macaque	Brain	do26745	BR1	do26745_PCHIC_Macaque_Brain_BR1_r_1.fq.gz	do26745_PCHIC_Macaque_Brain_BR1_r_2.fq.gz
Macaque	Brain	do26748	BR2	do26748_PCHIC_Macaque_Brain_BR2_r_1.fq.gz	do26748_PCHIC_Macaque_Brain_BR2_r_2.fq.gz
Macaque	Liver	do26746	BR1	do26746_PCHIC_Macaque_Liver_BR1_r_1.fq.gz	do26746_PCHIC_Macaque_Liver_BR1_r_2.fq.gz
Macaque	Liver	do26827	BR2	do26827_PCHIC_Macaque_Liver_BR2_r_1.fq.gz	do26827_PCHIC_Macaque_Liver_BR2_r_2.fq.gz
Macaque	Testis	do26747	BR1	do26747_PCHIC_Macaque_Testis_BR1_r_1.fq.gz	do26747_PCHIC_Macaque_Testis_BR1_r_2.fq.gz
Macaque	Testis	do26750	BR2	do26750_PCHIC_Macaque_Testis_BR2_r_1.fq.gz	do26750_PCHIC_Macaque_Testis_BR2_r_2.fq.gz
Marmoset	Brain	do26731	BR1	do26731_PCHIC_Marmoset_Brain_BR1_r_1.fq.gz	do26731_PCHIC_Marmoset_Brain_BR1_r_2.fq.gz
Marmoset	Brain	do26733	BR2	do26733_PCHIC_Marmoset_Brain_BR2_r_1.fq.gz	do26733_PCHIC_Marmoset_Brain_BR2_r_2.fq.gz
Marmoset	Liver	do26739	BR1	do26739_PCHIC_Marmoset_Liver_BR1_r_1.fq.gz	do26739_PCHIC_Marmoset_Liver_BR1_r_2.fq.gz
Marmoset	Liver	do26847	BR4	do26847_PCHIC_Marmoset_Liver_BR4_r_1.fq.gz	do26847_PCHIC_Marmoset_Liver_BR4_r_2.fq.gz
Marmoset	Testis	do26732	BR1	do26732_PCHIC_Marmoset_Testis_BR1_r_1.fq.gz	do26732_PCHIC_Marmoset_Testis_BR1_r_2.fq.gz
Marmoset	Testis	do26848	BR4	do26848_PCHIC_Marmoset_Testis_BR4_r_1.fq.gz	do26848_PCHIC_Marmoset_Testis_BR4_r_2.fq.gz
Mouse	Liver	do26758	BabBR1	do26758_PCHIC_Mouse_Liver_BabBR1_r_1.fq.gz	do26758_PCHIC_Mouse_Liver_BabBR1_r_2.fq.gz
Mouse	Liver	do26821	BIPulv	do26821_PCHIC_Mouse_Liver_BIPulv_r_1.fq.gz	do26821_PCHIC_Mouse_Liver_BIPulv_r_2.fq.gz
Mouse	Testis	do26759	BabBR1	do26759_PCHIC_Mouse_Testis_BabBR1_r_1.fq.gz	do26759_PCHIC_Mouse_Testis_BabBR1_r_2.fq.gz
Mouse	Testis	do26822	CIBR3	do26822_PCHIC_Mouse_Testis_CIBR3_r_1.fq.gz	do26822_PCHIC_Mouse_Testis_CIBR3_r_2.fq.gz
Mouse	Brain	do26757	BabBR1	do26757_PCHIC_Mouse_Brain_BabBR1_r_1.fq.gz	do26757_PCHIC_Mouse_Brain_BabBR1_r_2.fq.gz
Mouse	Brain	do26820	CIBR3	do26820_PCHIC_Mouse_Brain_CIBR3_r_1.fq.gz	do26820_PCHIC_Mouse_Brain_CIBR3_r_2.fq.gz
Rat	Brain	do26766	BR2	do26766_PCHIC_Rat_Brain_BR2_r_1.fq.gz	do26766_PCHIC_Rat_Brain_BR2_r_2.fq.gz
Rat	Brain	do26823	BR3	do26823_PCHIC_Rat_Brain_BR3_r_1.fq.gz	do26823_PCHIC_Rat_Brain_BR3_r_2.fq.gz
Rat	Liver	do26767	BR2	do26767_PCHIC_Rat_Liver_BR2_r_1.fq.gz	do26767_PCHIC_Rat_Liver_BR2_r_2.fq.gz
Rat	Liver	do26824	BR3	do26824_PCHIC_Rat_Liver_BR3_r_1.fq.gz	do26824_PCHIC_Rat_Liver_BR3_r_2.fq.gz
Rat	Testis	do26825	BR3	do26825_PCHIC_Rat_Testis_BR3_r_1.fq.gz	do26825_PCHIC_Rat_Testis_BR3_r_2.fq.gz
Rat	Testis	do26832	BR4	do26832_PCHIC_Rat_Testis_BR4_r_1.fq.gz	do26832_PCHIC_Rat_Testis_BR4_r_2.fq.gz
